//Actividades relacionadas con los servicios de impermeabilizacion

    //Sistemas de impermeabilización

Inducción de regata con pulidora y disco de corte en junta constructiva|LM|10800
Emboquillado de bajantes|94|30000
Modificación ductos de ventilación de 2"|94|18000
Modificación ductos de ventilación de 4"|94|28000
Mantenimiento losas de cubierta de puntos fijos|MTK|25000
Pulir superficie con copa diamantada|MTK|3500
Construccion de media caña en mortero|LM|9500
Mano de obra instalación de formaletas|LM|3200
Mano de obra de instalación de concreto|MTK|3500
Mano de obra de instalación de concreto(Incluye el concreto)|MTK|6000
Mano de obra acabado superficial del concreto con Helicóptero(Incluye el endurecido ROCKTOP)|MTK|28000
Sello de fisuras con mortero|LM|10500
Retiro de tejas de fibrocemento en mal estado|94|9800
Instalación de tejas de Fibrocemento de 1,8m x 0,9m(Incluye la teja)|94|42000
Instalación de tejas de Fibrocemento de 1,8m x 0,9m|94|28000
Reparación de caballetes(con retiro de teja fracturadas, preparación de superficie y reemplazo de tejas)|94|60000
Prueba de estanqueidad del sistema de impermeabilización|94|300000
Sondeo y limpieza de bajantes|94|45000
Reparación de empozamientos|MTK|25000
Fundicion de concreto para Piso f'c=28Mpa|MTQ|150000
Fundicion de concreto para Muros f'c=28Mpa|MTQ|390000
Fundicion de concreto de Tapa f'c=28Mpa|MTQ|390000
Sondeo de bajandes de aguas de lluvia y limpieza de los mismos|94|55000
Retiro de rebabas sobre mediacaña|MTK|27000
Demolición y retiro de enchape y mortero de pega existente|MTK|14000
Trasiego de escombros a sitio de almacenamiento temporal|94|200000
Prueba hidrostática de tubería y accesorios|94|250000
Imprimación de superficie con emulsión asfaltica como puente de adherencia|MTK|2000
Aplicación de pintura Coraza 10 años de Pintuco(inclute pintura)|MTK|10200
Aplicación de pintura perimetral y de ventanería Koraza gris basalto(Incluye pintura)|LM|3800
Aplicación de pintura esmalte mate tipo pintuco|MTK|15400
Aplicación de pintura, garantía de 10 años. Incluye Imprimante + 2 manos de pintura|MTK|6500
Instalación Piso ACME Gym espesor 10mm|MTK|80000
Pendientado en áreas específicas de emposamiento con mortero de reparación estructural VERTICOAT 2|MTK|130000
Construcción canaleta para conducir agua al bajante|LM|35000

//Actividades relacionadas con la adecuacion de tanques

